,bassa,french
2797,Di bé yuuga makoda ni man wés litôa,Nous utilisions cette petite voiture pour nous déplacer dans la circonscription.
2798,Man ond ndigi nyen a bi kola inyu kwés Élia nkaa le Yéhôva a yé bebee ni yônôs lipôdôl jé.,Un seul petit nuage a suffi à convaincre Éliya que Jéhovah était sur le point d’intervenir.
2799,"Ngandak bagwal i nléba le bon batitigi ba mbéna yoñ ngaba i miñañ mi mi nom ndik ndék manut, mi ban-ga ki bon ba mambadga.",De nombreux parents ont constaté que des activités de courte durée captent davantage l’intérêt des petits.
2800,"U ntjôô nwaa woñ nu a yé jém, ni nkéñéé man muda.",Vous avez abandonné votre femme enceinte et votre petite fille.
2801,M’ma yem a bé liya i néñés me ni mankéé nu muda.,Ma mère se donnait du mal pour s’occuper de ma petite sœur et moi.
2802,"Mam ni bôñôl bo, nga ma ba ’nyu yem.","Pour le plus petit parmi tous mes frères,"
2803,Manoodana ma Satan ma mpôna tjiandi le ba nwam njel ni jibe.,Les tentations de Satan sont comme des pièges disposés sur un sentier qui n’est pas éclairé.
2804,"Kii Farisai i noode boñ inyu ôm Yésu nsohi, lisuk li yé le kii?","Comment les pharisiens essaient- ils de piéger Jésus, et avec quel résultat ?"
2805,"Gwon bi ntat bés, bi ñunda njel","Nous protègent de tout piège,"
2806,"Ngéda Yésu a bé i ngii, a bé tehe tjiandi tjodisôna Satan a ngwélél inyu kwés bagwélél ba Djob.","Du ciel, il avait observé toutes les tentations auxquelles celui-ci avait recouru pour prendre au piège les serviteurs de Dieu."
2807,"Yésu a nkal bo le: Ndi bébomede yoña yihe le miñem minan mi yét bañ inyu ngandak je ni ngandak nyôba ni nduña i niñ, tiga le i kel i i puhe bé kunda yada, kiki hiandi.","Jésus leur recommande : Faites attention à vous, pour que vos cœurs ne s’alourdissent pas dans les excès de table, les excès de boisson et les inquiétudes de la vie, et pour que ce jour- là ne vous surprenne pas soudain comme un piège."
2808,"Mut a nla bôdôl bana maada ni mimbuu mimbe ni njel mam kiki bo ngambi i hilo hi ligwéé, lem i añ mintende mi libai li woo li mut, baleñ mbam, ni ngéda a ngwélél dibaña inyu yi bilôl.","Une personne pourrait tomber dans le piège du spiritisme par le moyen des horoscopes, de la chiromancie , des cartes de tarot et des boules de cristal."
2809,"I yigil ini, i nsoolene bés hiandi hiada hi hi nla boñ bés le di les nseñ u bijek bi mbuu.",Cet article nous met en garde contre un piège qui pourrait nous faire passer à côté de dispositions spirituelles bénéfiques.
2810,"Ibale ba nkép nuga joo tole i ngwéya i hiandi ndi i wo nidik, i nlama bé jéba.",Un animal étouffé ou bien mort dans un piège ne doit pas être mangé.
2811,Lelaa di nla keñgle hiandi hi?,Comment ne pas tomber dans ce piège ?
2812,Lelaa di nla kwo ikété hiandi i nwas le bôt bape bon ba yoñ makidik inyu yés?,Comment pourrions- nous tomber dans le piège de laisser les autres décider à notre place ?
2813,"Kinje jam li ntomb i kwo mu i tjandi ti, ti di ntinde bés i bep gwélél kunde yés!",Ce serait facile de tomber dans le piège et de mal utiliser notre liberté !
2814,"Satan a nyi le, ibale di mbéna yéñ yi mam ma nloo nokna i mut binam, i ga bane nye ntombok jam i tinde bés i bana maada ni mimbuu mimbe.","Satan sait que, si nous nous sentons attirés par des pratiques surnaturelles, il pourra facilement nous faire tomber dans le piège du spiritisme."
2815,108 Yésu a nsemba dipa di baéga bibase,108 Jésus déjoue les pièges des chefs religieux
2816,Satan a bi gwélél hipa hi ngui inyu gwel ngandak biañgel.,Satan s’est servi d’appâts pour piéger un grand nombre d’anges.
2817,Inyuki ngandak bon ba Israel i bi kwo mu hiandi hi Balam?,Pourquoi autant d’Israélites sont- ils tombés dans le piège de Balaam ?
2818,Yésu a nsemba dipa di baéga bibase,Jésus déjoue les pièges des chefs religieux
2819,Ba bé nhégék ipôla tuye ni ntôñ gwét u Égiptô.,Ils étaient pris au piège entre la mer et l’armée égyptienne.
2820,Banigil ba Yésu ni bôt bape ba ba yé emble nye ba nla kwo mu hiandi i yéñ bana ngandak nkus.,"Les auditeurs de Jésus, y compris ses disciples, pourraient tomber dans le piège de vouloir toujours plus de richesses."
2821,"U héya le a ngwélél dipa, Satan a nyéñ kônha bés woñi inyu boñ le di tañba hémle yés ipañ Yéhôva.","En plus de nous tendre des pièges, Satan essaie de faire pression sur nous pour que nous ne restions pas fidèles à Jéhovah."
2822,"Nyoo, Farisai lôñni ngim bôt u ntôñ u Sadukai ba noode Yésu, ba mbat nye le a ti yimbne i lôlak i ngii.",Les pharisiens accompagnés de quelques membres de la secte des sadducéens essaient alors de le piéger en lui demandant un signe venant du ciel.
2823,"Di ga tehe lelaa di nla keñgle i hiandi hi, di ga nigil ki lelaa di nla ôt nseñ ni bijek bi mbuu gwobisôna di nla bana.",Nous verrons comment éviter ce piège et tirer profit de toute la nourriture spirituelle à laquelle nous avons accès.
2824,"Mañge wanda nu môm ma ma ñwii a nkal le: Ngéda me bé sômb mañge , me bôdôl bana lem i béñge bititii bi malal ni i bôble gwom gwem bi mbôô metama.","Quand j’étais adolescent, raconte un jeune homme, je suis tombé dans le piège de la pornographie et de la masturbation."
2825,Satan a gwé ngandak manjel ni makeñge ma a nlugul bôt.,Satan utilise beaucoup de pièges et d’astuces pour tromper les gens.
2826,Keñgle tjandi dini ngéda u ntégbaha yigil i Bibel,Pièges à éviter lors d’un cours biblique
2827,"Yigil ini i ga hôla ki bés i tehe lelaa yak bés i len ini, di nla keñgle hiandi hi bi kwés Môsi.",Nous verrons également comment ne pas tomber dans le même piège que lui.
2828,"Inyu mbôô i i nkwo i nloñ, Yésu a ntoñol le: Nsohop a nlo, a héya bañga ikété miñem nwap inyu boñ le ba hémle bañ, to tohi ba kôhna bañ.","À propos des graines semées sur le sol piétiné au bord de la route, Jésus explique que le Diable enlève la parole de Dieu du cœur de ces personnes pour qu’elles ne croient pas et ne soient pas sauvées ."
2829,Yéhôva a ntéés Égiptô bikuu. Môsé a mpémés bon ba israél mu loñ i.,Jéhovah fait s’abattre des plaies sur l’Égypte.
2831,Ba bi pam minkôm mbus Yéhôva a bi lona Jôm li dimala i loñ i Égiptô.,Jéhovah les avait libérés de leur esclavage en Égypte en faisant venir dix plaies sur le pays.
2832,Inyuki Yéhôva a bi lona dimala ti?,Pourquoi Jéhovah a- t- il provoqué ces plaies ?
2834,Mambe maselna ma yé ipôla dimala dini ni dimala daa di bisu?,En quoi étaient- elles différentes des trois premières plaies ?
2837,Kii bon ba Israel ba bé lama boñ inyu pei himala hi?,Qu’ont dû faire les Israélites pour échapper à cette plaie ?
2838,"Inyu hala nyen Bibel i nyégsa bôt homa nyensô le: Pama mu nyeni [Babilôn Nunkeñi] . . . ibale ni ngwés bé adba ni bibéba gwé, ni ibale ni ngwés bé kôs ngaba mu dimala tjé.","C’est pourquoi la Bible adresse cette invitation pressante aux humains de toute la terre : Sortez d’elle [de Babylone la Grande] [...], si vous ne voulez pas participer avec elle à ses péchés, et si vous ne voulez pas recevoir votre part de ses plaies."
2839,Mambadga: Kii i bé himala hi nyônôs jôm?,Questions : Quelle était la dixième plaie ?
2840,Ba bi ôm nye nsohi le a ntéénga bôt ni le a njubus lisanda:,Accusé d’être une plaie et de provoquer des révoltes :
2841,"Bôt bahogi ba kal Faraô le: ‘Himala hini, hi nlôl ni Djob.’",Même des Égyptiens ont dit à Pharaon : Cette plaie vient de Dieu !
2842,"Mu mop ma, ngandak yap i bi sôla ngéda Yéhôva a bi boñ le Jôm li Dimala li kwél bo.","Au moyen des dix plaies, Jéhovah a porté un coup terrible à nombre de ces faux dieux."
2843,Dimala disamal di di bi noñ,Les six plaies suivantes
2844,Yéhôva a bi pémés jôm li dimala inyu unda le a gwééba iloo mop ma Égiptô.,Jéhovah a utilisé les dix plaies pour montrer qu’il était plus puissant que tous les dieux d’Égypte.
2845,Ba bi ôm nye nsohi le a ntéénga bôt ni le a njubus lisanda,Accusé d’être une plaie et de provoquer des révoltes
2846,"Ngeñ di nkôs mbabaa, ba ntibil bés",Pansent nos plaies et trouvent les mots
2847,"Bibel i nti bôt ma béhna ma ngui le ba pam i kwéha base i ngéda i nkal le: Pama mu nyeni, a litén jem, ibale ni ngwés bé le ni yoñ ngaba ni bibéba gwé, ni ibale ni ngwés bé le yak bé ni kôs dimala tjé.","Invitant énergiquement les humains à se séparer de la fausse religion, la Bible déclare : Sortez d’elle, mon peuple, si vous ne voulez pas participer avec elle à ses péchés, et si vous ne voulez pas recevoir votre part de ses plaies ."
2848,Yôsep a bi la ha bé ban ñem.,Il n’a pas pu cacher ses sentiments plus longtemps.
2849,Li bi tééñga nye kayéle hilo hi ke nye ngwéé.,Son rêve l’a tellement perturbé qu’il n’arrivait plus à dormir.
2850,"Biniigana bi mahee di nkôhna mu likoda li, bi nhôla ngandak ikété yés i hôlôs likeñge jap inyu mapeple ni gwigil bi Bibel.","Par exemple, ce que nous apprenons à la réunion Vie chrétienne et ministère nous permet d’avoir plus d’assurance quand nous faisons des nouvelles visites et quand nous enseignons la Bible."
2851,"Yigil ini, i nti bés ngandak manjom i pala téé mam di nlama yônôs i niñ yés, ni i bii nson likalô kiki jam li bisu i niñ yés.",Cet article donne des raisons de se fixer des objectifs spirituels dès le plus jeune âge et d’accorder la priorité à la prédication.
2852,"Bôt b’a jo ha bé, to wo gwét.",Plus personne ne sera soldat et ne mourra à la guerre.
2853,"Njom i ta bé yoñ, i yé mbale le i kal hala i yé jam li ntomb. Ndi, i hémle bibuk bi, i yé nledek jam.","Bien sûr, ce n’est pas ta faute , c’est plus facile à lire qu’à croire."
2854,"I jam Yésu a nkal li tééñga banigil bé ngandak, to hala kiki ba ntibil bé nok kii bibañga gwé bi nkobla.","De plus, trois apôtres ont vu la transfiguration et entendu la discussion au sujet du départ de Jésus ."
2855,Yom ba bé nôgda i bé lôôha bana nseñ i mis mé iloo mam ma bé lémél nye.,"Pour lui, leurs sentiments étaient beaucoup plus importants que ses préférences."
2856,"Yôna a ntémb a nok liyot ngandak, a témb a kal Djob le a nsômbôl wo.","Le moral de Yona retombe au plus bas. À nouveau, il réclame la mort ."
2857,Ngéda libii li nom ngandak ñwii li nkônde lona bisai.,"Au fil des années, un mariage peut apporter de plus en plus de bienfaits."
2858,"Jam li hélha li yé le, u héya le ba nkôs bé nsaa inyu bôlô yap, ba yé ki maséé i gwélél moni nwap inyu nit nson u.","Chose étonnante, non seulement ils ne sont pas payés, mais en plus ils couvrent volontiers leurs frais eux- mêmes."
2859,"Hala a nla ndigi boñ le Hana a kônde nôgda wengoñle yak ikété yé ndap, mut nu a nit nye a ta bé.","Au final, Hanna se sentirait encore plus rejetée."
2860,"Ibale mut a nke ni bisu i boñ malal ma nyega, a nla bé yén ikété likoda.","Si quelqu’un continue de pratiquer des actes sexuels immoraux, il ne peut plus faire partie de l’assemblée."
2861,"Kiki Yésu, sômbôl i Yéhôva yon i yé jam li bisu i niñ yap.",Ils font ainsi de la volonté de Jéhovah la chose la plus importante de leur vie (Mat.
2862,Yéhôva a bé gwés ha bé ki le ba nok ndutu.,Alors Jéhovah n’a plus voulu qu’ils souffrent.
2863,"Kii ngéda i bé tagbe, hala nyen yak me bé kônde hoñol le Yéhôva a nla bé nwéhél me.","Plus le temps passait, plus j’avais l’impression qu’il était impossible que Jéhovah me pardonne."
2864,"Nlélém kel, banigil iba ba bé lôlak i Yérusalem, inyu ke Émaus.","Plus tard dans la journée, alors que deux disciples se rendaient de Jérusalem à Emmaüs, un homme les a rejoints."
2865,"Di nkônde ki let ni njel biniigana Yéhôva a nti bés i makoda ma bikristen, i makoda makeñi , i makoda ma ndôn, ni i bisuklu bi ntôñ.","Nous sommes également rendus plus forts par l’enseignement divin dispensé aux réunions, aux assemblées et aux écoles théocratiques."
2866,"I mbus, Yésu a nlegel le: Njiiha keñi y’a ba, i nya i yé ngi ba ibôdôl bibôdle bi nkoñ isi letee ni nano, to, y’a ba ha bé ki.",Jésus annonce ensuite : Il y aura une grande tribulation comme il n’y en a jamais eu depuis le commencement du monde et comme il n’y en aura plus.
2867,"A ñoo le bôt ba bana malal ma téé bé i mis mé, a gwéhék ki le bitelbene bi yôña inyu sôñ téntén i bet ba gwé bé bôt ba ntôñ bo, ni i bôñôl bo mam i nya i téé sép.","Il déteste les crimes sexuels, et il fait tout pour que même les plus vulnérables reçoivent protection et justice."
2868,"Ngéda Yésu a bé niiga banigil bé i soohe, a bi unda le limbe jam li nlama ba li bisu i niñ yap?","D’après Jésus, quelle est la chose la plus importante pour laquelle nous devons prier ?"
2869,"Kiki ba nsal lôñ ni biénél bi bi mpôôna binuga bi bikai, bôt ba nyuñga ba nkoñ isi ni ba njôôñ yi ba bi bañ mañgaa ma mbuma ñañ, ba kôs ki nseñ u moni ngandak.","Collaborant avec ces puissances bestiales, le monde des affaires et la science ont contribué à l’invention de certaines des armes les plus monstrueuses que l’on puisse imaginer, et ils en ont tiré des profits colossaux."
2870,"Jam lipe li yé le, Élia a nlama yoñ ngaba inyu yônôs sômbôl i Djob i, inyule Djob a ntiimba ep nye i bôlô, a ti nye biniigana bi tôbôtôbô.","De plus, il a toujours un rôle à jouer, puisque Jéhovah le renvoie en mission avec des instructions précises ."
2871,Kristen i nlama bé tehe masoohe kiki yom binjénjé; tole ma ta bé kii ‘yom i makañ’ i i mboñ le u kôs to limbe jam u gwé ngôñ.,"La prière n’est pas un simple rituel ; elle n’a pas non plus un effet porte-bonheur , qui augmenterait nos chances de réussir ce que nous faisons."
2872,Nnigil Bibel a nla pala hol i pes mbuu ibale u ntégbaha yigil yé i likoda tole i juu li li mpot hilémb hié.,L’étudiant progressera sans doute plus rapidement si tu transmets le cours biblique à une assemblée ou à un groupe qui parle sa langue et qui ne se trouve pas loin.
2873,Baa bape ba nlo beñee ni môñgô mu kiki ba nimbil mbunja nyonok ni tjobi.,"Les autres, dans le bateau, avancent plus lentement, car ils traînent le filet rempli de poissons."
2874,Yéhôva Djob nyen a ñep njok hiobi i mil Yôna,Jéhovah préposa un grand poisson pour avaler Yona.
2875,"Ba mbol bañ i ngwañ tuye, ba ntehe juu li makalak ni tjobi mu ngii lôñni bret.","En arrivant à terre, ils voient un feu de charbon de bois avec du poisson posé dessus, et du pain ."
2876,"Tole ibale a mbat we hiobi, baa u ga ti nye nyoo?’","S’il vous demande un poisson, est- ce que vous allez lui donner un serpent ?"
2877,"Bebeg le Yôsep a mbôdôl unda man wé disiina bi gwom, kiki bo i se bikék loñni kôgôô i minumuk mi tjobi.","Joseph lui enseigne certainement des tâches simples, par exemple poncer du bois avec une peau de poisson séchée."
2878,"Ngéda ba mboñ hala, pése i nhôgôl 153 tjobi.","C’est ce qu’ils font, et cela en vaut la peine : ils remontent 153 poissons !"
2879,"Ngim mangéda ba bé ba ti bés tjobi di yômi, piya, ni diwônde.","Ils nous offraient souvent du poisson frais, des avocats et des arachides."
2880,"I buk i hop Lôk Héber ba nkobol hana le njok hiobi, ngéda i bi koblana ni hop i Lôk Grikia, ba bi tila le soso hiobi tole njok nuga lép.",Le mot hébreu pour poisson a été rendu en grec dans la Septante par monstre marin ou énorme poisson .
2881,"Yésu a bi yoñ bikoga ni tjobi, i mbus masoohe, a bôdôl kap gwo banigil bé, yak banigil ba kap gwo limut","Jésus a pris les pains et les poissons et, après avoir prié, les a distribués aux disciples, qui à leur tour, les ont distribués à la foule."
2882,A NSAA TAS NI MONI MI NLÔL I NYO U HIOBI,IL PAIE DES IMPÔTS AVEC UNE PIÈCE SORTIE DE LA BOUCHE D’UN POISSON
2883,"Yésu a bi bat banigil bé le ba jés mamut, to hala kiki ba bééna ndigi bikoga bitan ni tjobi diba","Jésus a demandé à ses disciples de nourrir une grande foule, même s’ils n’avaient que cinq pains et deux poissons."
2884,"Ha nyen Djob a boñ hélha jam ini le, a pémés njok hiobi, i mil Yôna.",Dieu provoque alors un miracle : il envoie un gros poisson avaler Yona.
2885,Himbe hiobi kaat Yôna i mpôdôl?,b) De quel genre de poisson est- il question dans le livre de Yona ?
2886,BALOP TJOBI BA NYILA BALOP BÔT,DES PÊCHEURS DE POISSONS DEVIENNENT DES PÊCHEURS D’HOMMES
2887,"Yésu a yoñ bikoga ni tjobi, a paa mis i ngii, a soohe.","Il a pris les pains et les poissons, il a regardé vers le ciel et il a prié."
2888,Pétrô a nyibil mbunja i i gwé 153 i mbôm tjobi!,"Pierre ramène le filet, qui contient 153 gros poissons !"
2889,Ngélé iba a gwélél ndik ndég koga ni bon ba tjobi i jés dikôô ni dikôô di bôt ba ba kon njal.,"À deux reprises, il nourrit des milliers de personnes avec seulement quelques pains et quelques poissons."
2890,"Inyu nit biniigana gwé, Yésu a nyoñ hihéga hi basañ mbai, a nkal le: Numbe isañ ikété nan, ibale man wé a mbat nye hiobi, a’ ti nye nyoo iloole a ti nye hiobi?","Puis Jésus appuie son idée par une comparaison : Quel père parmi vous, si son fils lui demande un poisson, lui donnera un serpent au lieu d’un poisson ?"
2891,"Kii ba nleñ, ba ba la bé ôt yo inyu ngandak tjobi.","Alors ils le jetèrent, mais ils ne pouvaient plus le ramener à cause de la multitude des poissons ."
2892,"Ngéda a nkônde ki ôt, a nléba le pése i nhôgôô tjobi.","Il tire encore. Soudain, il se rend compte que le filet est rempli de poissons !"
2893,Ndi Yésu a kal le: ‘Lonana gwo hana.’,Jésus leur a dit : Apportez- moi ces pains et ces poissons.
2894,A nyoñ két mbômôk hiobi a je yo.,"On lui donne alors un morceau de poisson grillé, qu’il mange."
2895,"Hala a nyoñ ki bo ntandaa ngéda i tep tjobi ni i nuñul tjo, i kôñôl pése ni i jôwa yo.","Le matin, il faut encore trier et vendre le poisson, et enfin réparer et nettoyer les filets."
2896,"Bipôdôl gwé bi nkônde mahoñ mu jam a bi bôk a kal i bet a bi jés bret ni tjobi, i ngéda a bé i pes likôl i ngwañ tuye Galiléa.","De toute évidence, ses paroles font suite à sa discussion avec ceux qui l’avaient suivi depuis la rive est de la mer de Galilée et qui avaient mangé les pains et les poissons miraculeusement fournis."
2897,"A sébél bo, a bat bo le: ‘Baa ni ngwel tjobi?’",L’homme leur a crié : Est- ce que vous avez attrapé des poissons ?
2899,Kristen i nlama bé tehe masoohe kiki yom binjénjé; tole ma ta bé kii ‘yom i makañ’ i i mboñ le u kôs to limbe jam u gwé ngôñ.,"La prière n’est pas un simple rituel ; elle n’a pas non plus un effet porte-bonheur , qui augmenterait nos chances de réussir ce que nous faisons."
2900,"Ba nyoñ tas i ngii bisitima bi nlo libôñ, ni ipañ bôt ba nyuñga ba nkil minloñ ni kamél, ni i ngii gwom bi nyuñga bi njôp i nkoñ.","Ces hommes collectent l’impôt pour les autorités romaines, tant détestées : ils taxent les bateaux qui s’arrêtent dans les ports, les caravanes qui circulent sur les axes principaux et les importations."
2901,Baa ki hala a bi kolba bé telepsép i Djob?,N’aurait- il pas ainsi porté atteinte à la justice de Dieu ?
2902,"Mbus 52 ma dilo, bôlô i mapénd ni i manwemel i bi mal.",La muraille et les portes ont été terminées en seulement 52 jours.
2903,Inyuki di nlama ke ni bisu i num ngandak matam,Pourquoi nous continuons à porter beaucoup de fruit
2904,"Bilôk bikéé bi loñ bi bé maséé i tehe mankéé Franz a héba mbot i loñ i Filipin ba nsébél le, barong Tagalôg, ngéda a bé ti nkwel mbamba.","Les frères locaux ont été touchés de le voir porter le barong tagalog, la tenue traditionnelle philippine, lors de son discours public."
2905,"Kii ka héga, i Africa kéndimbok, bôt ba bé hoñol ngim ngéda le hisi hi kéhne ngi nhôôk nyoo, dibanda 3 500 ngii, ni dibanda 3 500 isi.","En Afrique de l’Ouest, par exemple, les gens pensaient que la terre était portée par un serpent enroulé sur lui- même, avec 3 500 anneaux au-dessus de la terre et 3 500 anneaux au-dessous."
2906,"To hala kii a bé a ngi yii ngond muda, Ester a bi gwel minson minkeñi, kiki bo i kôôba mambén ma ma bi lona gwét ni tjiba.","La jeune Esther a porté de bien lourdes responsabilités, comme la préparation de décrets entraînant guerre et extermination."
2907,"A bi lédés bihimbil bi manwemel, a bi sayap bon banan ikété yoñ.",Il a renforcé les barres de tes portes ; il a béni tes fils au milieu de toi.
2908,"Lôk Persia i bi tagbe makôga makeñi ima i lijubul li tison, ma ba bi hôya kwés.","Les Perses sont entrés dans la ville par les imposantes portes à deux battants de la muraille, laissées imprudemment ouvertes."
2909,Hana a nla nihbe njôghe yé ibale Pénina a ba bé ha.,"S’il n’y avait pas Peninna, Hanna pourrait porter son fardeau avec courage."
2910,A bi nigil i haba kop nson binéñél gwé.,Il avait appris à porter le joug pendant sa jeunesse .
2911,"I tison, i Port Harcourt, di bi ba nyégsaga i téé likoda jés ngéda ngi kola, inyule bisônda bi loñ bi bi tagbe lipénd li mintonba mi Biafra.","À Port Harcourt, ma rencontre avec les frères s’est terminée à la hâte par une prière, car les forces gouvernementales avaient franchi les défenses rebelles, à l’extérieur de la ville."
2912,"Ñañ u nkal bés le hiki kel, a nlo bebee ni ndap i bôda inyu noode yi lelaa Ester a nke.","Nous lisons que, jour après jour, il s’approche aussi près que possible de la maison des femmes pour savoir comment se porte sa fille adoptive (Est."
2913,"Yésu a nkal Pétrô le a nla kon maséé i yi le Djob a bi soolene nye jam li, a nkônde le: Me nkal ki we le: U yé Pétrô, munu liaa lini nyen m’a ôñôl likoda jem, to manwemel ma Soñ m’a yémbél bé jo.","Jésus dit à Pierre qu’il peut être heureux que Dieu lui ait révélé cela, puis il ajoute : Je te dis : Tu es Pierre, et sur ce rocher je bâtirai ma congrégation, et les portes de la Tombe ne la domineront pas."
2914,"Jam lipe li yé ki le, dini dihéga di blé disamal, ibale di bé nyonok, bebeg di bé mbegee yosôna Ruth a nla begee.","Ou alors les six mesures, bien pleines, étaient le poids maximum que Ruth pouvait porter."
2915,Ba u nla yimbe ngim base i libôga joñ i i gwé bini bilem bi bañga ntôñ u Kristô?,Connaissez- vous un groupe religieux autour de chez vous qui porte les marques du vrai christianisme ?
2916,"Paul a kal le: Bés ba di gwé ngui, di nlama hônba bomb i ba ba gwé bé ngui, di lémél bañ bésbomede.","Paul déclara : Nous les forts, nous devons porter les faiblesses de ceux qui ne sont pas forts, et non nous plaire à nous- mêmes."
2917,"Tata a nkôhna lipém munu jam lini, le ni ke ni bisu i num ngandak matam, ni unda ki le ni yé banigil bem.",Mon Père est glorifié en ceci : que vous continuiez à porter beaucoup de fruit et que vous vous montriez mes disciples .
2918,"Sita Silvana, nu a yé nsañal nano a yé bebee le 30 ma nwii, a nkal le: Ilole me nke nson u mandap ni mandap libôga jem li likalô, me nsoohe Yéhôva, me badak nye le a hôla me i bana litehge lilam inyu bôt ba.","Silvana, pionnière depuis presque 30 ans, dit : Avant d’aller frapper à une porte, je demande à Jéhovah de m’aider à être positive."
2919,"Di bé di tôde ilole kel i nye , di bé ha bon ba bikaat tole bon ba mapep isi makôga ma mandap ma bôt.","Comme je le disais en introduction, nous nous levions en pleine nuit et nous glissions discrètement des tracts ou des brochures sous la porte des maisons avant que le jour se lève."
2920,"Kiki ba mbol ha, ba ada le manwemel ma néhi!","Quand ils sont arrivés devant les portes, elles étaient ouvertes !"
2921,"Ha ngéda i nyen di nlama ni kwés manwemel ma tison yés, hala wee di keñgle hiandi hi, ni ini njel le di nla héñha nkwel tole di nyodi ha.","Mais ce serait plutôt le moment de fermer la porte de notre cœur, en changeant de conversation ou en partant."
2922,Balôm ni baa ba nlama béñge wada ni nuu ni mis malam. Ba bak ki bebee i nwéhél wada ni nuu.,". Mari et femme doivent, eux aussi, porter un regard positif l’un sur l’autre et être disposés à se pardonner."
2923,"Ngéda di bé yuuga basalnwom, di bé béna héñha bikaat gwés ni bikai bi nlémba, bikoye, batômatô, ni matjee ma kôp, ngim mangéda ni kôp yômi.","Certains fermiers nous échangeaient nos publications contre des légumes, des œufs fraîchement ramassés ou même des poulets vivants."
2924,Konangoo i kiñe i bé lama tinde nkol unu i nwéhél manyañ.,"Puisque le roi avait eu pitié de lui, le premier esclave aurait dû se sentir poussé à annuler la dette de son compagnon."
2925,"Ngéda ba nlo i makoda inyu ngélé yap bisu, ba ntehe gwéha i bilôk bikéé, hala a nla tinde bo i ti Yéhôva lipém, ni i adba ni bés mu bibégés bipubi.","Quand les nouveaux venus voient l’amour chrétien à l’œuvre et en sont l’objet, ils peuvent se sentir poussés à louer Dieu et à se joindre à nous pour l’adorer ."
2926,"I ngéda mbéñ i nlo mbus nledek sép, nkôt tén e i ôlivé u nla témb u too, u numuk bisem, u pémhak i ngii minkañ ñwé bisosoñ kiki bio-oo bipe [tole mintjep kiki e mondo]","Quand les pluies mettent fin à une grande sécheresse, une souche d’olivier desséchée peut reprendre vie ; ses racines peuvent produire des pousses, qui deviendront des branche[s] comme une plante nouvelle ."
2927,"I biloñ bihogi, ba nyégsa boñge ba wanda i boñ bisuklu bikeñi, ni i yéñ bibôlô bi bi nti ngandak moni.","Dans certains pays, on les pousse à faire de longues études et à trouver un travail bien payé."
2928,"Ñem nyonok ni mayéga, b’a ba maséé i unda bôt bape loñgeñem.","Par reconnaissance, ils se sentiront poussés à se montrer bienveillants à leur tour."
2929,Kii ntinde mut i ti nyemede nkikip yak Djob?,Qu’est- ce qui pousse quelqu’un à se vouer à Jéhovah ?
2930,"Ndi to ibale di nhôs, i ga hôla bés i bat nwéhél ni i kodol njel yés.","Et si nous faisons une erreur, elle peut nous pousser à nous repentir et à rectifier notre conduite."
2931,Mambe mahoñol ma ntinde ni bés i boñ i bôlô i?,"Mais alors, qu’est- ce qui nous pousse à accomplir cette œuvre ?"
2932,"Ndémbél yé i nlama tinde banigil bé i unda nlélém gwéha, ni i bii gwéñe bi bôt bape bisu bi gwéñe gwap.",Son exemple devrait inciter ses disciples à avoir le même amour qui pousse à faire passer les intérêts des autres avant les siens.
2933,"Mut Samaria a bi yoñ bitelbene i hôla mut wé libôk, inyule a bééna konangoo ni ñem ngôô.","Poussé par la compassion, le Samaritain a agi pour soulager l’homme qui souffrait."
2934,Kii gwéha inyu Djob i bi tinde we i boñ?,"Comment s’exprime l’amour véritable, et qu’est- ce que l’amour pour Dieu vous a poussé à faire ?"
2935,Kii konangoo i mbuma ñañ i Yéhôva i nlama tinde bés i boñ?,Qu’est- ce que la faveur imméritée de Jéhovah devrait nous pousser à faire ?
2936,Kii bañga gwéha i ga tinde bés i boñ?,À quoi l’amour véritable nous pousse- t- il ?
2937,"Yéhôva a ngwés le, i gwéha di gwé inyu yé yon i tinde bés i yoñ makidik malam, inyu boñ le di bana niñ i nlôôha lam.","Jéhovah veut que notre amour pour lui nous pousse à prendre de bonnes décisions, pour que nous ayons la meilleure vie possible ."
2938,Abel a ntehe ni maliga le biloo ni njôm bi nañ hana isi.,Abel voit effectivement pousser épines et chardons.
2939,"Kiki hihéga, Bibel i ñañle bés lelaa ‘Satan a bi yôñôl ñem’ u babiina bada i hiai bisu i tembene Djob.",La Bible parle d’un couple chrétien du Ier siècle que Satan a poussé à mentir effrontément à Dieu.
2940,Konangoo i Djob i nlama tinde bés i lôôha ti nye mayéga ni lipém.,La miséricorde de Dieu devrait nous remplir de gratitude et nous pousser à le glorifier.
2941,I nti bés makénd i téñbe.,Poussés par l’amour du prochain.
2942,Kii libak le di bi kobla i minkôm i Babilôn Nunkeñi mi nlama tinde bés i boñ?,"Ayant été libérés de Babylone la Grande, que devrions- nous nous sentir poussés à faire ?"
2943,"George a bi ti me bôk baskô, i me bé lama kis mu libôga jés nyonok ni dikôa.",Il m’a donné un vieux vélo que je pourrais utiliser dans ce territoire très vallonné.
2944,", 7. Gwéha inyu Yéhôva i ntinde bés i boñ kii?",", 7. a) Qu’est- ce que notre amour pour Jéhovah nous pousse à faire ?"
